REVIEWER_URL,REVIEWER_NAME,RAW_HOME_LOCATION,CLEANED_HOME_LOCATION,NUMBER_OF_CONTRIBUTIONS,HELPFUL_VOTES,REVIEWER_UPDATED_TIME
https://www.tripadvisor.com.sg/Profile/112deniss,112deniss,"
Adelaide, Australia",,81,7,2020-01-31 09:09:15.206827
https://www.tripadvisor.com.sg/Profile/Jalle78,Jalle78,"
Tamraght, Morocco",,26,7,2020-01-31 09:09:15.605670
https://www.tripadvisor.com.sg/Profile/2leggedtraveller,2leggedtraveller,"
Milwaukee, Wisconsin",,4,,2020-01-31 09:09:15.927484
https://www.tripadvisor.com.sg/Profile/Curiosity786751,Curiosity786751,,,6,4,2020-01-31 09:09:16.312327
https://www.tripadvisor.com.sg/Profile/mdkhaleel,mdkhaleel,"
Chennai (Madras), India",,87,86,2020-01-31 09:09:16.683570
https://www.tripadvisor.com.sg/Profile/AjayKacker,AjayKacker,"
Gurugram (Gurgaon), India",,593,181,2020-01-31 09:09:17.108043
https://www.tripadvisor.com.sg/Profile/vamsidhark,vamsidhark,"
Hyderabad, India",,190,67,2020-01-31 09:09:17.483124
https://www.tripadvisor.com.sg/Profile/FootstepsDK,FootstepsDK,"
Hillerod, Denmark",,68,75,2020-01-31 09:09:17.847384
https://www.tripadvisor.com.sg/Profile/relaxtripp,relaxtripp,"
Tiruppur, India",,223,135,2020-01-31 09:09:18.229610
https://www.tripadvisor.com.sg/Profile/03brian42,03brian42,"
Brisbane, Australia",,11,7,2020-01-31 09:09:18.608946
https://www.tripadvisor.com.sg/Profile/Pradip B,Pradip B,"
Kolkata (Calcutta), India",,177,57,2020-01-31 09:09:24.585584
https://www.tripadvisor.com.sg/Profile/217rafatr,217rafatr,"
North Houston, Texas",,7,4,2020-01-31 09:09:24.923437
https://www.tripadvisor.com.sg/Profile/MKB1701,MKB1701,"
New York",,688,222,2020-01-31 09:09:25.272476
https://www.tripadvisor.com.sg/Profile/Locococomama,Locococomama,"
Evergreen, Colorado, United States",,345,124,2020-01-31 09:09:25.689847
https://www.tripadvisor.com.sg/Profile/UNCLESAM911,UNCLESAM911,"
Muscat, Oman",,19,1,2020-01-31 09:09:26.049423
https://www.tripadvisor.com.sg/Profile/Gurpreet S,Gurpreet S,"
New Delhi, India",,106,55,2020-01-31 09:09:26.414834
https://www.tripadvisor.com.sg/Profile/Jainbush,Jainbush,"
New Delhi, India",,6,1,2020-01-31 09:09:26.782718
https://www.tripadvisor.com.sg/Profile/alhasan1909,alhasan1909,"
Lahore, Pakistan",,229,75,2020-01-31 09:09:27.157470
https://www.tripadvisor.com.sg/Profile/877amita,877amita,"
Gurugram (Gurgaon), India",,6,,2020-01-31 09:09:27.469232
https://www.tripadvisor.com.sg/Profile/Holstwnsnd,Holstwnsnd,"
Birmingham, United Kingdom",,19,15,2020-01-31 09:09:27.844900
https://www.tripadvisor.com.sg/Profile/JasneshBhullar,JasneshBhullar,"
Mentakab, Malaysia",,145,51,2020-01-31 09:09:33.794545
https://www.tripadvisor.com.sg/Profile/siddey2015,siddey2015,"
Bengaluru, India",,162,19,2020-01-31 09:09:34.159189
https://www.tripadvisor.com.sg/Profile/anandbhatia77,anandbhatia77,"
New Delhi, India",,6,1,2020-01-31 09:09:34.560419
https://www.tripadvisor.com.sg/Profile/Nksnikhil,Nksnikhil,"
New Delhi, India",,15,3,2020-01-31 09:09:34.911348
https://www.tripadvisor.com.sg/Profile/lkamphuis,lkamphuis,"
Gold Coast, Australia",,783,183,2020-01-31 09:09:35.277054
https://www.tripadvisor.com.sg/Profile/neelypeely,neelypeely,"
Manchester, United Kingdom",,104,37,2020-01-31 09:09:35.674664
https://www.tripadvisor.com.sg/Profile/PeterOdgaard,PeterOdgaard,"
Aarhus, Denmark",,572,134,2020-01-31 09:09:36.061824
https://www.tripadvisor.com.sg/Profile/Submarinerpete,Submarinerpete,"
Secret Harbour, Australia",,29,25,2020-01-31 09:09:36.435909
https://www.tripadvisor.com.sg/Profile/agrawaldipika,agrawaldipika,,,7,,2020-01-31 09:09:36.789885
https://www.tripadvisor.com.sg/Profile/zipty22,zipty22,"
Maryland",,245,82,2020-01-31 09:09:37.194633
https://www.tripadvisor.com.sg/Profile/Shirleyho13,Shirleyho13,"
Singapore, Singapore",,52,6,2020-01-31 09:09:43.143110
https://www.tripadvisor.com.sg/Profile/pinkykaurrall,pinkykaurrall,"
Birmingham, United Kingdom",,33,8,2020-01-31 09:09:43.541228
https://www.tripadvisor.com.sg/Profile/MarinaUmar,MarinaUmar,"
Islamabad, Pakistan",,45,31,2020-01-31 09:09:43.926603
https://www.tripadvisor.com.sg/Profile/Bellsie17,Bellsie17,"
Dubbo, Australia",,373,159,2020-01-31 09:09:44.321886
https://www.tripadvisor.com.sg/Profile/Sally H,Sally H,"
Perth, Australia",,37,10,2020-01-31 09:09:44.687551
https://www.tripadvisor.com.sg/Profile/Azmina N,Azmina N,"
Toronto, Canada",,119,34,2020-01-31 09:09:45.069733
https://www.tripadvisor.com.sg/Profile/Lovesingapura,Lovesingapura,,,17,3,2020-01-31 09:09:45.425024
https://www.tripadvisor.com.sg/Profile/Rahul U,Rahul U,,,64,11,2020-01-31 09:09:45.849352
https://www.tripadvisor.com.sg/Profile/RahulU1980,RahulU1980,"
Mumbai, India",,46,9,2020-01-31 09:09:46.210267
https://www.tripadvisor.com.sg/Profile/Vineet_Tuli,Vineet_Tuli,"
Gurugram (Gurgaon), India",,216,168,2020-01-31 09:09:46.574435
https://www.tripadvisor.com.sg/Profile/katea507,katea507,,,30,9,2020-01-31 09:09:52.542499
https://www.tripadvisor.com.sg/Profile/pasupuletis4,pasupuletis4,,,18,19,2020-01-31 09:09:52.886319
https://www.tripadvisor.com.sg/Profile/ehmahh,ehmahh,"
Dartford, United Kingdom",,177,84,2020-01-31 09:09:53.262661
https://www.tripadvisor.com.sg/Profile/Mazmannan,Mazmannan,"
Basingstoke, United Kingdom",,865,280,2020-01-31 09:09:53.679103
